Unnamed: 0,date,top_artists,top_1,top_2,top_3,Introduction
334,2023-12-01,"['Cher', 'The Pogues', 'Taylor Swift']",Cher,The Pogues,Taylor Swift,"Cher (; born Cherilyn Sarkisian; May 20, 1946) is an American singer, actress and television personality. Often referred to by the media as the ""Goddess of Pop"", she has been described as embodying female autonomy in a male-dominated industry. She is known for her distinctive contralto singing voice, for having worked in numerous areas of entertainment and for adopting a variety of styles and appearances. Cher rose to fame in 1965 as one half of the folk rock husband-wife duo Sonny & Cher before releasing her first solo top-ten singles ""Bang Bang (My Baby Shot Me Down)"" and ""You Better Sit Down Kids"". Throughout the 1970s, she scored the US Billboard Hot 100 number-one singles ""Gypsys, Tramps & Thieves"", ""Half-Breed"", and ""Dark Lady"", becoming the female solo artist with the most number-one singles in US history at the time. 
After her divorce from Sonny Bono in 1975, Cher released the successful disco album Take Me Home (1979). Her music career revival in the late 1980s saw the releases of rock-inflected albums Cher (1987), Heart of Stone (1989), and Love Hurts (1991), all of which yielded hit singles such as ""I Found Someone"", ""If I Could Turn Back Time"", and ""Save Up All Your Tears"". Cher reached a new commercial peak in 1998 with the dance-pop album Believe, which featured pioneering use of Auto-Tune to distort her vocals, known as the ""Cher effect"". The title track became the number-one song of 1999 in the US and the best-selling single of all time by a female artist in the UK. She continued to make music, with the albums Closer to the Truth (2013) and Dancing Queen (2018) both debuting at number three on the Billboard 200 and becoming her highest-charting solo albums in the US.
Cher became a television personality in the 1970s with her CBS shows The Sonny & Cher Comedy Hour, watched by over 30 million viewers weekly during its three-year run, and the namesake Cher. In 1982, she made her Broadway debut in the play Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean and starred in its film adaptation. Cher subsequently garnered critical acclaim for her performances in films such as Silkwood (1983), Mask (1985), and Moonstruck (1987), the last of which won her the Academy Award for Best Actress. She contributed to the soundtrack for her next film, Mermaids (1990), which spawned the UK number-one single ""The Shoop Shoop Song (It's in His Kiss)"", and made her directorial debut with a segment in the abortion-themed anthology If These Walls Could Talk (1996). During the 2010s, Cher landed starring roles in the films Burlesque (2010) and Mamma Mia! Here We Go Again (2018).
Having sold 100 million records, Cher is one of the world's best-selling music artists. Her accolades include a Rock and Roll Hall of Fame induction, a Grammy Award, an Emmy Award, an Academy Award, three Golden Globe Awards, a Cannes Film Festival award, the Billboard Icon Award, and awards from the Kennedy Center Honors and the Council of Fashion Designers of America. She is the only solo artist to date to have a number-one single on a Billboard chart in seven consecutive decades, from the 1960s to the 2020s. Her 2002–2005 Living Proof: The Farewell Tour became the highest-grossing concert tour by a female artist ever at the time, earning $250 million. Aside from music and acting, she is noted for her trendsetting, elaborate outfits, political views, social media presence, philanthropic endeavors, and social activism, including LGBT rights and HIV/AIDS prevention."
335,2023-12-02,"['Brenda Song', 'Cher', ""Catherine O'Hara""]",Brenda Song,Cher,Catherine O'Hara,"Brenda Song  (born March 27, 1988) is an American actress. Born in California, Song began her career at the age of six, working as a child model. She made her screen debut with a guest appearance on the sitcom Thunder Alley (1995), and went on to roles such as the children's television series Fudge (1995) and the Nickelodeon series 100 Deeds for Eddie McDowd (1999). She starred in the Disney Channel original film The Ultimate Christmas Present (2000), which won her a Young Artist Award. She subsequently signed a contract with Disney Channel and earned widespread recognition for playing the titular character in the action film Wendy Wu: Homecoming Warrior (2006), and London Tipton in the comedy franchise The Suite Life (2005–2011), earning her acclaim and two Young Hollywood Awards. She additionally played the character of Tia on Phil of the Future (2004–2005), and had starring roles in the television film Get a Clue (2002), the sports comedy film Like Mike (2002) and the comedy film Stuck in the Suburbs (2004).
Song made her transition into mainstream roles with the critically acclaimed biographical drama film The Social Network (2010) and went on to roles in the ABC political thriller Scandal (2012–2013), the Fox sitcom New Girl and the sitcom Dads (2013). In October 2014, she signed a talent holding deal with Fox and 20th Century Fox Television and was subsequently cast in several television pilots for NBC and CBS, including the medical drama series Pure Genius (2016–2017) and the action drama series Station 19 (2018–2020). She provided the voice of Anne Boonchuy in the Disney Channel animated series Amphibia (2019–2022), starred as Madison Maxwell in the Hulu comedy-drama series Dollface (2019–2022), and provides the voice of Princess Akemi in Blue Eye Samurai (2023–present). She has also headlined the romantic comedy film Angry Angel (2017), the psychological thriller film Secret Obsession (2019), the comedy-drama film Changeland (2019), and the romantic comedy Love Accidentally (2022). She also starred in the horror video game The Quarry (2022)."
336,2023-12-03,"['Brenda Song', 'Billie Eilish', 'Cher']",Brenda Song,Billie Eilish,Cher,"Brenda Song  (born March 27, 1988) is an American actress. Born in California, Song began her career at the age of six, working as a child model. She made her screen debut with a guest appearance on the sitcom Thunder Alley (1995), and went on to roles such as the children's television series Fudge (1995) and the Nickelodeon series 100 Deeds for Eddie McDowd (1999). She starred in the Disney Channel original film The Ultimate Christmas Present (2000), which won her a Young Artist Award. She subsequently signed a contract with Disney Channel and earned widespread recognition for playing the titular character in the action film Wendy Wu: Homecoming Warrior (2006), and London Tipton in the comedy franchise The Suite Life (2005–2011), earning her acclaim and two Young Hollywood Awards. She additionally played the character of Tia on Phil of the Future (2004–2005), and had starring roles in the television film Get a Clue (2002), the sports comedy film Like Mike (2002) and the comedy film Stuck in the Suburbs (2004).
Song made her transition into mainstream roles with the critically acclaimed biographical drama film The Social Network (2010) and went on to roles in the ABC political thriller Scandal (2012–2013), the Fox sitcom New Girl and the sitcom Dads (2013). In October 2014, she signed a talent holding deal with Fox and 20th Century Fox Television and was subsequently cast in several television pilots for NBC and CBS, including the medical drama series Pure Genius (2016–2017) and the action drama series Station 19 (2018–2020). She provided the voice of Anne Boonchuy in the Disney Channel animated series Amphibia (2019–2022), starred as Madison Maxwell in the Hulu comedy-drama series Dollface (2019–2022), and provides the voice of Princess Akemi in Blue Eye Samurai (2023–present). She has also headlined the romantic comedy film Angry Angel (2017), the psychological thriller film Secret Obsession (2019), the comedy-drama film Changeland (2019), and the romantic comedy Love Accidentally (2022). She also starred in the horror video game The Quarry (2022)."
337,2023-12-04,"['Brenda Song', 'Billie Eilish', 'Taylor Swift']",Brenda Song,Billie Eilish,Taylor Swift,"Brenda Song  (born March 27, 1988) is an American actress. Born in California, Song began her career at the age of six, working as a child model. She made her screen debut with a guest appearance on the sitcom Thunder Alley (1995), and went on to roles such as the children's television series Fudge (1995) and the Nickelodeon series 100 Deeds for Eddie McDowd (1999). She starred in the Disney Channel original film The Ultimate Christmas Present (2000), which won her a Young Artist Award. She subsequently signed a contract with Disney Channel and earned widespread recognition for playing the titular character in the action film Wendy Wu: Homecoming Warrior (2006), and London Tipton in the comedy franchise The Suite Life (2005–2011), earning her acclaim and two Young Hollywood Awards. She additionally played the character of Tia on Phil of the Future (2004–2005), and had starring roles in the television film Get a Clue (2002), the sports comedy film Like Mike (2002) and the comedy film Stuck in the Suburbs (2004).
Song made her transition into mainstream roles with the critically acclaimed biographical drama film The Social Network (2010) and went on to roles in the ABC political thriller Scandal (2012–2013), the Fox sitcom New Girl and the sitcom Dads (2013). In October 2014, she signed a talent holding deal with Fox and 20th Century Fox Television and was subsequently cast in several television pilots for NBC and CBS, including the medical drama series Pure Genius (2016–2017) and the action drama series Station 19 (2018–2020). She provided the voice of Anne Boonchuy in the Disney Channel animated series Amphibia (2019–2022), starred as Madison Maxwell in the Hulu comedy-drama series Dollface (2019–2022), and provides the voice of Princess Akemi in Blue Eye Samurai (2023–present). She has also headlined the romantic comedy film Angry Angel (2017), the psychological thriller film Secret Obsession (2019), the comedy-drama film Changeland (2019), and the romantic comedy Love Accidentally (2022). She also starred in the horror video game The Quarry (2022)."
338,2023-12-05,"['Brenda Song', 'Nelly', 'XXXTentacion']",Brenda Song,Nelly,XXXTentacion,"Brenda Song  (born March 27, 1988) is an American actress. Born in California, Song began her career at the age of six, working as a child model. She made her screen debut with a guest appearance on the sitcom Thunder Alley (1995), and went on to roles such as the children's television series Fudge (1995) and the Nickelodeon series 100 Deeds for Eddie McDowd (1999). She starred in the Disney Channel original film The Ultimate Christmas Present (2000), which won her a Young Artist Award. She subsequently signed a contract with Disney Channel and earned widespread recognition for playing the titular character in the action film Wendy Wu: Homecoming Warrior (2006), and London Tipton in the comedy franchise The Suite Life (2005–2011), earning her acclaim and two Young Hollywood Awards. She additionally played the character of Tia on Phil of the Future (2004–2005), and had starring roles in the television film Get a Clue (2002), the sports comedy film Like Mike (2002) and the comedy film Stuck in the Suburbs (2004).
Song made her transition into mainstream roles with the critically acclaimed biographical drama film The Social Network (2010) and went on to roles in the ABC political thriller Scandal (2012–2013), the Fox sitcom New Girl and the sitcom Dads (2013). In October 2014, she signed a talent holding deal with Fox and 20th Century Fox Television and was subsequently cast in several television pilots for NBC and CBS, including the medical drama series Pure Genius (2016–2017) and the action drama series Station 19 (2018–2020). She provided the voice of Anne Boonchuy in the Disney Channel animated series Amphibia (2019–2022), starred as Madison Maxwell in the Hulu comedy-drama series Dollface (2019–2022), and provides the voice of Princess Akemi in Blue Eye Samurai (2023–present). She has also headlined the romantic comedy film Angry Angel (2017), the psychological thriller film Secret Obsession (2019), the comedy-drama film Changeland (2019), and the romantic comedy Love Accidentally (2022). She also starred in the horror video game The Quarry (2022)."
339,2023-12-06,"['Taylor Swift', 'Brenda Song', 'Jason Mraz']",Taylor Swift,Brenda Song,Jason Mraz,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. A subject of widespread public interest with a vast fanbase, she has influenced the music industry, popular culture and politics through her songwriting, artistry, entrepreneurship, and advocacy.
Swift began professional songwriting at age 14. She signed with Big Machine Records in 2005 and achieved prominence as a country pop singer with the albums Taylor Swift (2006) and Fearless (2008). Their singles ""Teardrops on My Guitar"", ""Love Story"", and ""You Belong with Me"" were crossover successes on country and pop radio formats and brought Swift mainstream fame. She experimented with rock and electronic styles on her next albums, Speak Now (2010) and Red (2012), respectively; Red featured her first Billboard Hot 100 number-one single, ""We Are Never Ever Getting Back Together"". Swift recalibrated her image from country to pop with 1989 (2014), a synth-pop album containing the chart-topping songs ""Shake It Off"", ""Blank Space"", and ""Bad Blood"". Media scrutiny inspired the hip-hop-influenced Reputation (2017) and its number-one single ""Look What You Made Me Do"".
After signing with Republic Records in 2018, Swift released the eclectic pop album Lover (2019) and the autobiographical documentary Miss Americana (2020). She explored indie folk styles on the 2020 albums Folklore and Evermore, subdued pop genres on Midnights (2022) and The Tortured Poets Department (2024), and re-recorded four albums subtitled Taylor's Version after a dispute with Big Machine. These albums spawned the number-one songs ""Cruel Summer"", ""Cardigan"", ""Willow"", ""Anti-Hero"", ""Fortnight"", ""All Too Well"", and ""Is It Over Now?"" Her Eras Tour (2023–2024) and its accompanying concert film became the highest-grossing tour and concert film of all time, respectively. Swift has directed videos and films such as Folklore: The Long Pond Studio Sessions (2020) and All Too Well: The Short Film (2021), and has also acted in films.
Swift is one of the world's best-selling artists, with 200 million records sold worldwide as of 2019. She is the most-streamed artist on Spotify, the highest-grossing female touring act, and the first billionaire with music as the main source of income. Seven of her albums have opened with over one million sales in a week. The 2023 Time Person of the Year, Swift has appeared on lists such as Rolling Stone's 100 Greatest Songwriters of All Time, Billboard's Greatest of All Time Artists, and Forbes' World's 100 Most Powerful Women. Her accolades include 14 Grammy Awards, a Primetime Emmy Award,  40 American Music Awards, 39 Billboard Music Awards, and 23 MTV Video Music Awards; she has won the Grammy Award for Album of the Year, the MTV Video Music Award for Video of the Year, and the IFPI Global Recording Artist of the Year a record four times each."
340,2023-12-07,"['Benjamin Zephaniah', 'Taylor Swift', 'XXXTentacion']",Benjamin Zephaniah,Taylor Swift,XXXTentacion,"Benjamin Obadiah Iqbal Zephaniah (né Springer; 15 April 1958 – 7 December 2023) was a British writer, dub poet, actor, musician and professor of poetry and creative writing. He was included in The Times list of Britain's top 50 post-war writers in 2008. In his work, Zephaniah drew on his lived experiences of incarceration, racism and his Jamaican heritage. 
He won the BBC Radio 4 Young Playwrights Festival Award in 1998 and was the recipient of at least sixteen honorary doctorates. A ward at Ealing Hospital was also named in his honour. His second novel, Refugee Boy, was the recipient of the 2002 Portsmouth Book Award in the Longer Novel category. In 1982, he released an album, Rasta, which featured the Wailers performing for the first time since the death of Bob Marley, acting as a tribute to Nelson Mandela. It topped the charts in Yugoslavia, and due to its success Mandela invited Zephaniah to host the president's Two Nations Concert at the Royal Albert Hall, London, in 1996. As an actor, he had a major role in the BBC's Peaky Blinders between 2013 and 2022.
A vegan and animal rights activist, who self-identified as an anarchist, Zephaniah supported changing the British electoral system from first-past-the-post to alternative vote. 
In 2003, he was offered appointment as an Officer of the Order of the British Empire (OBE) but publicly rejected the honour, stating that: ""I get angry when I hear that word 'empire'; it reminds me of slavery, it reminds of thousands of years of brutality, it reminds me of how my foremothers were raped and my forefathers, brutalised""."
341,2023-12-08,"['XXXTentacion', 'Benjamin Zephaniah', 'Taylor Swift']",XXXTentacion,Benjamin Zephaniah,Taylor Swift,"Jahseh Dwayne Ricardo Onfroy (January 23, 1998 – June 18, 2018), known professionally as XXXTentacion, (English:  eks-eks-eks-TEN-təss-YOHN Spanish pronunciation: [tentaˈθjon]) was an American rapper and singer-songwriter. Though a controversial figure due to his widely publicized legal troubles, XXXTentacion gained a cult following among his young fanbase during his short career with his depression- and alienation-themed music. Critics and fans often credit him for his musical versatility, with his music exploring emo, trap, trap metal, nu metal, indie rock, lo-fi, hip hop, R&B, and punk rock. He is considered to be a leading figure in the establishment of the emo rap and SoundCloud rap genres, which garnered mainstream attention during the mid-to-late 2010s.
Born in Plantation, Florida, XXXTentacion spent most of his childhood in Lauderhill. He began writing music after being released from a juvenile detention center and soon started his music career on SoundCloud in 2013, employing styles and techniques that were unconventional in rap music such as distortion and heavy guitar-backed instrumentals, drawing inspiration from third-wave emo and grunge. In 2014, he formed the underground collective Members Only and alongside other members of the collective soon became a popular figure in SoundCloud rap, a trap music scene that takes elements of lo-fi music and harsh 808s. XXXTentacion gained mainstream attention with the single ""Look at Me"". His debut album 17 (2017) is certified triple-platinum in the US and reached number two on the Billboard 200. His second album ? (2018) debuted at number one on the Billboard 200 and is certified quintuple-platinum in the US. Its lead single, ""Sad!"", posthumously reached number one on the Billboard Hot 100, and had amassed more than 1.2 billion views on YouTube and 2.1 billion streams on Spotify by February 2024, as well as being certified Diamond by the RIAA in August 2021.
XXXTentacion faced a variety of legal issues throughout his lifetime, most notably the controversy that arose from the battery charges that were levied against him in 2016. His history of legal issues and alleged violence has been described by some as defining his legacy, while others have criticized the media's portrayal of him, arguing that his perceived improvements in character later in life have made his legacy into a tale of the power of second chances and redemption.
On June 18, 2018, XXXTentacion, age 20, was murdered when he was shot near a motorcycle dealership in Deerfield Beach, Florida. The attackers fled the scene in an SUV after stealing his Louis Vuitton bag containing $50,000 in cash. Four suspects were arrested and charged with first-degree murder among other charges. In August 2022, one of the four men pleaded guilty to second-degree murder in exchange for testimony against the other three defendants in their trial. The trial initiated on February 7, 2023. On March 20, 2023, all three were found guilty on all counts. On April 6, 2023, they were sentenced to life imprisonment without the possibility of parole.
XXXTentacion has RIAA-certified sales of 61 million units in the US and BPI-certified sales of over 7 million units in the UK, bringing his total to 68 million certified records sold in the two countries. Since his death, he has won an American Music Award and a BET Hip Hop Award and received 11 Billboard Music Award nominations. Two posthumous albums were released, Skins (2018) and Bad Vibes Forever (2019); the former became his second number-one album on the Billboard 200, while the latter entered the top 5."
342,2023-12-09,"['Cher', 'XXXTentacion', 'Taylor Swift']",Cher,XXXTentacion,Taylor Swift,"Cher (; born Cherilyn Sarkisian; May 20, 1946) is an American singer, actress and television personality. Often referred to by the media as the ""Goddess of Pop"", she has been described as embodying female autonomy in a male-dominated industry. She is known for her distinctive contralto singing voice, for having worked in numerous areas of entertainment and for adopting a variety of styles and appearances. Cher rose to fame in 1965 as one half of the folk rock husband-wife duo Sonny & Cher before releasing her first solo top-ten singles ""Bang Bang (My Baby Shot Me Down)"" and ""You Better Sit Down Kids"". Throughout the 1970s, she scored the US Billboard Hot 100 number-one singles ""Gypsys, Tramps & Thieves"", ""Half-Breed"", and ""Dark Lady"", becoming the female solo artist with the most number-one singles in US history at the time. 
After her divorce from Sonny Bono in 1975, Cher released the successful disco album Take Me Home (1979). Her music career revival in the late 1980s saw the releases of rock-inflected albums Cher (1987), Heart of Stone (1989), and Love Hurts (1991), all of which yielded hit singles such as ""I Found Someone"", ""If I Could Turn Back Time"", and ""Save Up All Your Tears"". Cher reached a new commercial peak in 1998 with the dance-pop album Believe, which featured pioneering use of Auto-Tune to distort her vocals, known as the ""Cher effect"". The title track became the number-one song of 1999 in the US and the best-selling single of all time by a female artist in the UK. She continued to make music, with the albums Closer to the Truth (2013) and Dancing Queen (2018) both debuting at number three on the Billboard 200 and becoming her highest-charting solo albums in the US.
Cher became a television personality in the 1970s with her CBS shows The Sonny & Cher Comedy Hour, watched by over 30 million viewers weekly during its three-year run, and the namesake Cher. In 1982, she made her Broadway debut in the play Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean and starred in its film adaptation. Cher subsequently garnered critical acclaim for her performances in films such as Silkwood (1983), Mask (1985), and Moonstruck (1987), the last of which won her the Academy Award for Best Actress. She contributed to the soundtrack for her next film, Mermaids (1990), which spawned the UK number-one single ""The Shoop Shoop Song (It's in His Kiss)"", and made her directorial debut with a segment in the abortion-themed anthology If These Walls Could Talk (1996). During the 2010s, Cher landed starring roles in the films Burlesque (2010) and Mamma Mia! Here We Go Again (2018).
Having sold 100 million records, Cher is one of the world's best-selling music artists. Her accolades include a Rock and Roll Hall of Fame induction, a Grammy Award, an Emmy Award, an Academy Award, three Golden Globe Awards, a Cannes Film Festival award, the Billboard Icon Award, and awards from the Kennedy Center Honors and the Council of Fashion Designers of America. She is the only solo artist to date to have a number-one single on a Billboard chart in seven consecutive decades, from the 1960s to the 2020s. Her 2002–2005 Living Proof: The Farewell Tour became the highest-grossing concert tour by a female artist ever at the time, earning $250 million. Aside from music and acting, she is noted for her trendsetting, elaborate outfits, political views, social media presence, philanthropic endeavors, and social activism, including LGBT rights and HIV/AIDS prevention."
343,2023-12-10,"['Eminem', 'Kylie Minogue', 'XXXTentacion']",Eminem,Kylie Minogue,XXXTentacion,"Marshall Bruce Mathers III (born October 17, 1972), known professionally as Eminem, is an American rapper. He is credited with popularizing hip hop in Middle America and is widely regarded as one of the greatest rappers of all time. His global success is considered to have broken racial barriers to the acceptance of white rappers in popular music. While much of his transgressive work during the late 1990s and early 2000s made him a controversial figure, he came to be a representation of popular angst of the American underclass and has been cited as an influence by and upon many artists working in various genres.
After the release of his debut album Infinite (1996) and the extended play Slim Shady EP (1997), Eminem signed with Dr. Dre's Aftermath Entertainment and subsequently achieved mainstream popularity in 1999 with The Slim Shady LP. His next two releases, The Marshall Mathers LP (2000) and The Eminem Show (2002), were worldwide successes and were both nominated for the Grammy Award for Album of the Year. After the release of his next album, Encore (2004), Eminem went on hiatus in 2005, largely due to a prescription drug addiction. He returned to the music industry four years later with the release of Relapse (2009) and Recovery, which was released the following year. Recovery was the bestselling album worldwide of 2010, making it Eminem's second album, after The Eminem Show in 2002, to be the best-selling album of the year worldwide. In the following years, he released the US number one albums The Marshall Mathers LP 2 (2013), Revival (2017), Kamikaze (2018), and Music to Be Murdered By (2020).
Eminem's best-known songs include ""My Name Is"", ""The Real Slim Shady"", ""The Way I Am"", ""Stan"", ""Without Me"", ""Lose Yourself"", ""Mockingbird"", ""Not Afraid"", ""Love the Way You Lie"", ""Rap God"", ""The Monster"", ""River"" and ""Godzilla"". In addition to his solo career, Eminem was a member of the hip hop group D12. He is also known for collaborations with fellow Detroit-based rapper Royce da 5'9""; the two are collectively known as Bad Meets Evil.
Eminem starred in the 2002 musical drama film 8 Mile, playing a dramatized version of himself. ""Lose Yourself"", a track from its soundtrack, topped the Billboard Hot 100 for 12 weeks, the most for a solo rap song, and won the Academy Award for Best Original Song, making Eminem the first hip hop artist ever to win the award. He has made cameo appearances in the films The Wash (2001), Funny People (2009), and The Interview (2014), and the television series Entourage (2010). Eminem has developed other ventures, including Shady Records, a joint venture with manager Paul Rosenberg, which helped launch the careers of artists such as 50 Cent, D12, and Obie Trice, among others. He has also established his own channel, Shade 45, on Sirius XM Radio.
Eminem is among the best-selling music artists of all time, with estimated worldwide sales of over 220 million records. He was the best-selling music artist in the United States of the 2000s and the bestselling male music artist in the United States of the 2010s, third overall. Billboard named him the ""Artist of the Decade (2000–2009)"". He has had ten number-one albums on the Billboard 200—which all consecutively debuted at number one on the chart, making him the first artist to achieve this—and five number-one singles on the Billboard Hot 100. The Marshall Mathers LP, The Eminem Show, Curtain Call: The Hits (2005), ""Lose Yourself"", ""Love the Way You Lie"", and ""Not Afraid"" have all been certified Diamond or higher by the Recording Industry Association of America (RIAA). Rolling Stone has included him in its lists of the 100 Greatest Artists of All Time and the 100 Greatest Songwriters of All Time. He has won numerous awards, including 15 Grammy Awards, eight American Music Awards, 17 Billboard Music Awards, an Academy Award, a Primetime Emmy Award, and an MTV Europe Music Global Icon Award. In November 2022, Eminem was inducted into the Rock and Roll Hall of Fame."
344,2023-12-11,"['XXXTentacion', 'Taylor Swift', 'Eminem']",XXXTentacion,Taylor Swift,Eminem,"Jahseh Dwayne Ricardo Onfroy (January 23, 1998 – June 18, 2018), known professionally as XXXTentacion, (English:  eks-eks-eks-TEN-təss-YOHN Spanish pronunciation: [tentaˈθjon]) was an American rapper and singer-songwriter. Though a controversial figure due to his widely publicized legal troubles, XXXTentacion gained a cult following among his young fanbase during his short career with his depression- and alienation-themed music. Critics and fans often credit him for his musical versatility, with his music exploring emo, trap, trap metal, nu metal, indie rock, lo-fi, hip hop, R&B, and punk rock. He is considered to be a leading figure in the establishment of the emo rap and SoundCloud rap genres, which garnered mainstream attention during the mid-to-late 2010s.
Born in Plantation, Florida, XXXTentacion spent most of his childhood in Lauderhill. He began writing music after being released from a juvenile detention center and soon started his music career on SoundCloud in 2013, employing styles and techniques that were unconventional in rap music such as distortion and heavy guitar-backed instrumentals, drawing inspiration from third-wave emo and grunge. In 2014, he formed the underground collective Members Only and alongside other members of the collective soon became a popular figure in SoundCloud rap, a trap music scene that takes elements of lo-fi music and harsh 808s. XXXTentacion gained mainstream attention with the single ""Look at Me"". His debut album 17 (2017) is certified triple-platinum in the US and reached number two on the Billboard 200. His second album ? (2018) debuted at number one on the Billboard 200 and is certified quintuple-platinum in the US. Its lead single, ""Sad!"", posthumously reached number one on the Billboard Hot 100, and had amassed more than 1.2 billion views on YouTube and 2.1 billion streams on Spotify by February 2024, as well as being certified Diamond by the RIAA in August 2021.
XXXTentacion faced a variety of legal issues throughout his lifetime, most notably the controversy that arose from the battery charges that were levied against him in 2016. His history of legal issues and alleged violence has been described by some as defining his legacy, while others have criticized the media's portrayal of him, arguing that his perceived improvements in character later in life have made his legacy into a tale of the power of second chances and redemption.
On June 18, 2018, XXXTentacion, age 20, was murdered when he was shot near a motorcycle dealership in Deerfield Beach, Florida. The attackers fled the scene in an SUV after stealing his Louis Vuitton bag containing $50,000 in cash. Four suspects were arrested and charged with first-degree murder among other charges. In August 2022, one of the four men pleaded guilty to second-degree murder in exchange for testimony against the other three defendants in their trial. The trial initiated on February 7, 2023. On March 20, 2023, all three were found guilty on all counts. On April 6, 2023, they were sentenced to life imprisonment without the possibility of parole.
XXXTentacion has RIAA-certified sales of 61 million units in the US and BPI-certified sales of over 7 million units in the UK, bringing his total to 68 million certified records sold in the two countries. Since his death, he has won an American Music Award and a BET Hip Hop Award and received 11 Billboard Music Award nominations. Two posthumous albums were released, Skins (2018) and Bad Vibes Forever (2019); the former became his second number-one album on the Billboard 200, while the latter entered the top 5."
345,2023-12-12,"['Barry Manilow', 'XXXTentacion', 'Taylor Swift']",Barry Manilow,XXXTentacion,Taylor Swift,"Barry Manilow ( MAN-ə-loh; born Barry Alan Pincus; June 17, 1943) is an American singer and songwriter with a career that spans six decades. His hit recordings include ""Could It Be Magic"", ""Looks Like We Made It"", ""Mandy"", ""I Write the Songs"", ""Can't Smile Without You"", ""Weekend in New England"", and ""Copacabana (At the Copa)"".
Manilow has recorded and released 51 Top 40 singles on the Adult Contemporary Chart, including 13 that hit number one, 28 that appeared within the top ten, and 36 that reached the top twenty.  Manilow has released 13 platinum and six multi-platinum albums. Although not a favorite artist of music critics, Manilow has been praised by his peers in the recording industry. In the 1970s, Frank Sinatra predicted: ""He's next.""
As well as producing and arranging albums for himself and other artists, Manilow has written and performed songs for musicals, films, and commercials for corporations such as McDonald's, Pepsi Cola, and Band-Aid. He has been nominated for a Grammy Award (winning once) as a producer, arranger and performer a total of fifteen times (and in every decade) from 1973 to 2015. He has also produced Grammy-nominated albums for Bette Midler, Dionne Warwick, Nancy Wilson, and Sarah Vaughan. Manilow has sold more than 85 million records as a solo artist worldwide, making him one of the world's bestselling artists."
346,2023-12-13,"['XXXTentacion', 'Taylor Swift', 'Alia Bhatt']",XXXTentacion,Taylor Swift,Alia Bhatt,"Jahseh Dwayne Ricardo Onfroy (January 23, 1998 – June 18, 2018), known professionally as XXXTentacion, (English:  eks-eks-eks-TEN-təss-YOHN Spanish pronunciation: [tentaˈθjon]) was an American rapper and singer-songwriter. Though a controversial figure due to his widely publicized legal troubles, XXXTentacion gained a cult following among his young fanbase during his short career with his depression- and alienation-themed music. Critics and fans often credit him for his musical versatility, with his music exploring emo, trap, trap metal, nu metal, indie rock, lo-fi, hip hop, R&B, and punk rock. He is considered to be a leading figure in the establishment of the emo rap and SoundCloud rap genres, which garnered mainstream attention during the mid-to-late 2010s.
Born in Plantation, Florida, XXXTentacion spent most of his childhood in Lauderhill. He began writing music after being released from a juvenile detention center and soon started his music career on SoundCloud in 2013, employing styles and techniques that were unconventional in rap music such as distortion and heavy guitar-backed instrumentals, drawing inspiration from third-wave emo and grunge. In 2014, he formed the underground collective Members Only and alongside other members of the collective soon became a popular figure in SoundCloud rap, a trap music scene that takes elements of lo-fi music and harsh 808s. XXXTentacion gained mainstream attention with the single ""Look at Me"". His debut album 17 (2017) is certified triple-platinum in the US and reached number two on the Billboard 200. His second album ? (2018) debuted at number one on the Billboard 200 and is certified quintuple-platinum in the US. Its lead single, ""Sad!"", posthumously reached number one on the Billboard Hot 100, and had amassed more than 1.2 billion views on YouTube and 2.1 billion streams on Spotify by February 2024, as well as being certified Diamond by the RIAA in August 2021.
XXXTentacion faced a variety of legal issues throughout his lifetime, most notably the controversy that arose from the battery charges that were levied against him in 2016. His history of legal issues and alleged violence has been described by some as defining his legacy, while others have criticized the media's portrayal of him, arguing that his perceived improvements in character later in life have made his legacy into a tale of the power of second chances and redemption.
On June 18, 2018, XXXTentacion, age 20, was murdered when he was shot near a motorcycle dealership in Deerfield Beach, Florida. The attackers fled the scene in an SUV after stealing his Louis Vuitton bag containing $50,000 in cash. Four suspects were arrested and charged with first-degree murder among other charges. In August 2022, one of the four men pleaded guilty to second-degree murder in exchange for testimony against the other three defendants in their trial. The trial initiated on February 7, 2023. On March 20, 2023, all three were found guilty on all counts. On April 6, 2023, they were sentenced to life imprisonment without the possibility of parole.
XXXTentacion has RIAA-certified sales of 61 million units in the US and BPI-certified sales of over 7 million units in the UK, bringing his total to 68 million certified records sold in the two countries. Since his death, he has won an American Music Award and a BET Hip Hop Award and received 11 Billboard Music Award nominations. Two posthumous albums were released, Skins (2018) and Bad Vibes Forever (2019); the former became his second number-one album on the Billboard 200, while the latter entered the top 5."
